Overhead - Hydraulic	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_CDU_C_R2	660	70292			
EVT_CDU_C_R3	661	70293			
EVT_CDU_C_R4	662	70294			
EVT_CDU_C_R5	663	70295			
EVT_CDU_C_R6	664	70296			
EVT_CDU_C_INIT_REF	665	70297			
EVT_CDU_C_RTE	666	70298			
EVT_CDU_C_DEP_ARR	667	70299			
EVT_CDU_C_ALTN	668	70300			
EVT_CDU_C_VNAV	669	70301			
EVT_CDU_C_FIX	670	70302			
EVT_CDU_C_LEGS	671	70303			
 
EVT_CDU_C_HOLD	672	70304			
EVT_CDU_C_FMCCOMM	6721	76353			
EVT_CDU_C_PROG	673	70305			
EVT_CDU_C_EXEC	674	70306			
EVT_CDU_C_MENU	675	70307			
EVT_CDU_C_NAV_RAD	676	70308			
EVT_CDU_C_PREV_PAGE	677	70309			
EVT_CDU_C_NEXT_PAGE	678	70310			
EVT_CDU_C_1	679	70311			
EVT_CDU_C_2	680	70312			
EVT_CDU_C_3	681	70313			
EVT_CDU_C_4	682	70314			
EVT_CDU_C_5	683	70315			
EVT_CDU_C_6	684	70316			
EVT_CDU_C_7	685	70317			
EVT_CDU_C_8	686	70318			
EVT_CDU_C_9	687	70319			
EVT_CDU_C_DOT	688	70320			
EVT_CDU_C_0	689	70321			
EVT_CDU_C_PLUS_MINUS	690	70322			
EVT_CDU_C_A	691	70323			
EVT_CDU_C_B	692	70324			
EVT_CDU_C_C	693	70325			
EVT_CDU_C_D	694	70326			
EVT_CDU_C_E	695	70327			
EVT_CDU_C_F	696	70328			
EVT_CDU_C_G	697	70329			
EVT_CDU_C_H	698	70330			
EVT_CDU_C_I	699	70331			
EVT_CDU_C_J	700	70332			
EVT_CDU_C_K	701	70333			
EVT_CDU_C_L	702	70334			
EVT_CDU_C_M	703	70335			
EVT_CDU_C_N	704	70336			
EVT_CDU_C_O	705	70337			
EVT_CDU_C_P	706	70338			
EVT_CDU_C_Q	707	70339			
EVT_CDU_C_R	708	70340			
EVT_CDU_C_S	709	70341			
EVT_CDU_C_T	710	70342			
EVT_CDU_C_U	711	70343			
EVT_CDU_C_V	712	70344			
EVT_CDU_C_W	713	70345			
EVT_CDU_C_X	714	70346			
EVT_CDU_C_Y	715	70347			
EVT_CDU_C_Z	716	70348			
EVT_CDU_C_SPACE	717	70349			
EVT_CDU_C_DEL	718	70350			
EVT_CDU_C_SLASH	719	70351			
EVT_CDU_C_CLR	720	70352			
 
EVT_CDU_C_BRITENESS	721	70353			

Pedestal - Fwd Aisle Stand	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_PED_DSPL_CTRL_SOURCE_C	478	70110			
EVT_PED_EICAS_EVENT_RCD	479	70111			
EVT_PED_UPPER_BRIGHT_CONTROL	480	70112			
EVT_PED_LOWER_BRIGHT_CONTROL	481	70113			
EVT_PED_LOWER_TERR_BRIGHT_CONTROL	4811	74443			
EVT_PED_L_CCD_SIDE	482	70114			
EVT_PED_L_CCD_INBD	483	70115			
EVT_PED_L_CCD_LWR	484	70116			
EVT_PED_R_CCD_LWR	489	70121			
EVT_PED_R_CCD_INBD	490	70122			
EVT_PED_R_CCD_SIDE	491	70123			

Pedestal - Control Stand - Fire protection panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_FIRE_HANDLE_ENGINE_1_TOP	651	70283			
EVT_FIRE_HANDLE_ENGINE_1_BOTTOM	6511	76143			
EVT_FIRE_HANDLE_ENGINE_2_TOP	652	70284			
EVT_FIRE_HANDLE_ENGINE_2_BOTTOM	6521	76153			
EVT_FIRE_UNLOCK_SWITCH_ENGINE_1	6512	76144			
EVT_FIRE_UNLOCK_SWITCH_ENGINE_2	6522	76154			

Pedestal - Control Stand - Flaps	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_ALTN_FLAPS_ARM	510	70142			
EVT_ALTN_FLAPS_ARM_GUARD	511	70143			
EVT_ALTN_FLAPS_POS	512	70144			

Pedestal - Control Stand - Fuel Control	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_CONTROL_STAND_ENG1_START_LEVER	520	70152			
EVT_CONTROL_STAND_ENG2_START_LEVER	521	70153			

Pedestal - Aft Aisle Stand - COMM Panels	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_COM1_HF_SENSOR_KNOB	525	70157			
EVT_COM1_TRANSFER_SWITCH	526	70158			
EVT_COM1_OUTER_SELECTOR	527	70159			
EVT_COM1_INNER_SELECTOR	528	70160			
EVT_COM1_VHFL_SWITCH	529	70161			
EVT_COM1_VHFC_SWITCH	530	70162			
EVT_COM1_VHFR_SWITCH	531	70163			
EVT_COM1_PNL_OFF_SWITCH	532	70164			
EVT_COM1_HFL_SWITCH	533	70165			
EVT_COM1_AM_SWITCH	534	70166			
EVT_COM1_HFR_SWITCH	535	70167			
EVT_COM2_HFR_SWITCH	792	70424			
EVT_COM2_AM_SWITCH	793	70425			
EVT_COM2_HFL_SWITCH	794	70426			
EVT_COM2_PNL_OFF_SWITCH	795	70427			
EVT_COM2_VHFR_SWITCH	796	70428			
EVT_COM2_VHFC_SWITCH	797	70429			
 
EVT_COM2_VHFL_SWITCH	798	70430			
EVT_COM2_INNER_SELECTOR	799	70431			
EVT_COM2_OUTER_SELECTOR	800	70432			
EVT_COM2_TRANSFER_SWITCH	801	70433			
EVT_COM2_HF_SENSOR_KNOB	802	70434			
EVT_COM3_HF_SENSOR_KNOB	596	70228			
EVT_COM3_TRANSFER_SWITCH	597	70229			
EVT_COM3_OUTER_SELECTOR	598	70230			
EVT_COM3_INNER_SELECTOR	599	70231			
EVT_COM3_VHFL_SWITCH	600	70232			
EVT_COM3_VHFC_SWITCH	601	70233			
EVT_COM3_VHFR_SWITCH	602	70234			
EVT_COM3_PNL_OFF_SWITCH	603	70235			
EVT_COM3_HFL_SWITCH	604	70236			
EVT_COM3_AM_SWITCH	605	70237			
EVT_COM3_HFR_SWITCH	606	70238			

Pedestal - Aft Aisle Stand - ACP Captain	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_ACP_CAPT_MIC_VHFL	536	70168			
EVT_ACP_CAPT_MIC_VHFC	537	70169			
EVT_ACP_CAPT_MIC_VHFR	538	70170			
EVT_ACP_CAPT_MIC_FLT	539	70171			
EVT_ACP_CAPT_MIC_CAB	540	70172			
EVT_ACP_CAPT_MIC_PA	541	70173			
EVT_ACP_CAPT_MIC_HFL	555	70187			
EVT_ACP_CAPT_MIC_HFR	556	70188			
EVT_ACP_CAPT_MIC_SAT1	557	70189			
EVT_ACP_CAPT_MIC_SAT2	558	70190			
EVT_ACP_CAPT_REC_VHFL	548	70180			
EVT_ACP_CAPT_REC_VHFC	549	70181			
EVT_ACP_CAPT_REC_VHFR	550	70182			
EVT_ACP_CAPT_REC_FLT	551	70183			
EVT_ACP_CAPT_REC_CAB	552	70184			
EVT_ACP_CAPT_REC_PA	553	70185			
EVT_ACP_CAPT_REC_HFL	565	70197			
EVT_ACP_CAPT_REC_HFR	566	70198			
EVT_ACP_CAPT_REC_SAT1	567	70199			
EVT_ACP_CAPT_REC_SAT2	568	70200			
EVT_ACP_CAPT_REC_SPKR	564	70196			
EVT_ACP_CAPT_REC_VORADF	571	70203			
EVT_ACP_CAPT_REC_APP	573	70205			
EVT_ACP_CAPT_MIC_INT_SWITCH	554	70186			
EVT_ACP_CAPT_FILTER_SELECTOR	572	70204			
EVT_ACP_CAPT_VOR_ADF_SELECTOR	569	70201			
EVT_ACP_CAPT_APP_SELECTOR	575	70207			

Pedestal - Aft Aisle Stand - ACP F/O	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_ACP_FO_MIC_VHFL	791	70423			
EVT_ACP_FO_MIC_VHFC	790	70422			
EVT_ACP_FO_MIC_VHFR	789	70421			
 
EVT_ACP_FO_MIC_FLT	788	70420			
EVT_ACP_FO_MIC_CAB	787	70419			
EVT_ACP_FO_MIC_PA	786	70418			
EVT_ACP_FO_MIC_HFL	772	70404			
EVT_ACP_FO_MIC_HFR	771	70403			
EVT_ACP_FO_MIC_SAT1	770	70402			
EVT_ACP_FO_MIC_SAT2	769	70401			
EVT_ACP_FO_REC_VHFL	779	70411			
EVT_ACP_FO_REC_VHFC	778	70410			
EVT_ACP_FO_REC_VHFR	777	70409			
EVT_ACP_FO_REC_FLT	776	70408			
EVT_ACP_FO_REC_CAB	775	70407			
EVT_ACP_FO_REC_PA	774	70406			
EVT_ACP_FO_REC_HFL	762	70394			
EVT_ACP_FO_REC_HFR	761	70393			
EVT_ACP_FO_REC_SAT1	760	70392			
EVT_ACP_FO_REC_SAT2	759	70391			
EVT_ACP_FO_REC_SPKR	763	70395			
EVT_ACP_FO_REC_VORADF	756	70388			
EVT_ACP_FO_REC_APP	754	70386			
EVT_ACP_FO_MIC_INT_SWITCH	773	70405			
EVT_ACP_FO_FILTER_SELECTOR	755	70387			
EVT_ACP_FO_VOR_ADF_SELECTOR	758	70390			
EVT_ACP_FO_APP_SELECTOR	752	70384			

Pedestal - Aft Aisle Stand - ACP Observer	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_ACP_OBS_MIC_VHFL	607	70239			
EVT_ACP_OBS_MIC_VHFC	608	70240			
EVT_ACP_OBS_MIC_VHFR	609	70241			
EVT_ACP_OBS_MIC_FLT	610	70242			
EVT_ACP_OBS_MIC_CAB	611	70243			
EVT_ACP_OBS_MIC_PA	612	70244			
EVT_ACP_OBS_MIC_HFL	626	70258			
EVT_ACP_OBS_MIC_HFR	627	70259			
EVT_ACP_OBS_MIC_SAT1	628	70260			
EVT_ACP_OBS_MIC_SAT2	629	70261			
EVT_ACP_OBS_REC_VHFL	619	70251			
EVT_ACP_OBS_REC_VHFC	620	70252			
EVT_ACP_OBS_REC_VHFR	621	70253			
EVT_ACP_OBS_REC_FLT	622	70254			
EVT_ACP_OBS_REC_CAB	623	70255			
EVT_ACP_OBS_REC_PA	624	70256			
EVT_ACP_OBS_REC_HFL	636	70268			
EVT_ACP_OBS_REC_HFR	637	70269			
EVT_ACP_OBS_REC_SAT1	638	70270			
EVT_ACP_OBS_REC_SAT2	639	70271			
EVT_ACP_OBS_REC_SPKR	635	70267			
EVT_ACP_OBS_REC_VORADF	642	70274			
EVT_ACP_OBS_REC_APP	644	70276			
EVT_ACP_OBS_MIC_INT_SWITCH	625	70257			
 
EVT_ACP_OBS_FILTER_SELECTOR	643	70275			
EVT_ACP_OBS_VOR_ADF_SELECTOR	640	70272			
EVT_ACP_OBS_APP_SELECTOR	646	70278			

Pedestal - Aft Aisle Stand - WX RADAR panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_WXR_L_TFR	576	70208			
EVT_WXR_L_WX	577	70209			
EVT_WXR_L_WX_T	578	70210			
EVT_WXR_L_MAP	579	70211			
EVT_WXR_L_GC	580	70212			
EVT_WXR_AUTO	583	70215			
EVT_WXR_L_R	584	70216			
EVT_WXR_TEST	585	70217			
EVT_WXR_R_TFR	588	70220			
EVT_WXR_R_WX	589	70221			
EVT_WXR_R_WX_T	590	70222			
EVT_WXR_R_MAP	591	70223			
EVT_WXR_R_GC	592	70224			
EVT_WXR_L_TILT_CONTROL	581	70213			
EVT_WXR_L_GAIN_CONTROL	582	70214			
EVT_WXR_R_TILT_CONTROL	586	70218			
EVT_WXR_R_GAIN_CONTROL	587	70219			

Pedestal - Aft Aisle Stand - TCAS panel	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_TCAS_ALTSOURCE	743	70375			
EVT_TCAS_KNOB_L_OUTER	744	70376			
EVT_TCAS_KNOB_L_INNER	745	70377			
EVT_TCAS_IDENT	746	70378			
EVT_TCAS_KNOB_R_OUTER	747	70379			
EVT_TCAS_KNOB_R_INNER	748	70380			
EVT_TCAS_MODE	749	70381			
EVT_TCAS_TEST	7491	77123			
EVT_TCAS_XPNDR	751	70383			

Pedestal - Aft Aisle Stand - CALL Panel (Freighter only)	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_PED_CALL_GND	1078	70710			
EVT_PED_CALL_CREW_REST	1079	70711			
EVT_PED_CALL_SUPRNMRY	1080	70712			
EVT_PED_CALL_CARGO	1081	70713			
EVT_PED_CALL_CARGO_AUDIO	1082	70714			
EVT_PED_CALL_MAIN_DK_ALERT	1083	70715			

Pedestal - Aft Aisle Stand - Miscellaneous	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_PED_OBS_AUDIO_SELECTOR	648	70280			
EVT_FCTL_AILERON_TRIM	727	70359			
EVT_FCTL_RUDDER_TRIM	728	70360			
EVT_FCTL_RUDDER_TRIM_CANCEL	729	70361			
EVT_PED_FLOOR_LIGHTS	735	70367			
EVT_PED_PANEL_LIGHT_CONTROL	736	70368			
EVT_PED_FLOOD_LIGHT_CONTROL	737	70369			
 
EVT_PED_EVAC_SWITCH	739	70371			
EVT_PED_EVAC_SWITCH_GUARD	740	70372			
EVT_PED_EVAC_HORN_SHUTOFF	741	70373			
EVT_PED_EVAC_TEST_SWITCH	742	70374			

Pedestal - Control Stand	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER	498	70130			
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_DOWN	4981	74613			
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_ARM	4982	74614			
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_UP	4983	74615			
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_50	4984	74616			
EVT_CONTROL_STAND_FLAPS_LEVER	507	70139			
EVT_CONTROL_STAND_FLAPS_LEVER_0	5071	74703			
EVT_CONTROL_STAND_FLAPS_LEVER_1	5072	74704			
EVT_CONTROL_STAND_FLAPS_LEVER_5	5073	74705			
EVT_CONTROL_STAND_FLAPS_LEVER_15	5074	74706			
EVT_CONTROL_STAND_FLAPS_LEVER_20	5075	74707			
EVT_CONTROL_STAND_FLAPS_LEVER_25	5076	74708			
EVT_CONTROL_STAND_FLAPS_LEVER_30	5077	74709			
EVT_CONTROL_STAND_ALT_PITCH_TRIM_LEVER	496	70128			
EVT_CONTROL_STAND_REV_THRUST1_LEVER	499	70131			
EVT_CONTROL_STAND_REV_THRUST2_LEVER	503	70135			
EVT_CONTROL_STAND_FWD_THRUST1_LEVER	501	70133			
EVT_CONTROL_STAND_FWD_THRUST2_LEVER	505	70137			
EVT_CONTROL_STAND_AT1_DISENGAGE_SWITCH	502	70134			
EVT_CONTROL_STAND_AT2_DISENGAGE_SWITCH	506	70138			
EVT_CONTROL_STAND_TOGA1_SWITCH	500	70132			
EVT_CONTROL_STAND_TOGA2_SWITCH	504	70136			
EVT_CONTROL_STAND_PARK_BRAKE_LEVER	515	70147			
EVT_CONTROL_STAND_STABCUTOUT_SWITCH_C_GUARD	516	70148			
EVT_CONTROL_STAND_STABCUTOUT_SWITCH_C	517	70149			
EVT_CONTROL_STAND_STABCUTOUT_SWITCH_R_GUARD	518	70150			
EVT_CONTROL_STAND_STABCUTOUT_SWITCH_R	519	70151			

Oxygen Panels	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_OXY_TEST_RESET_SWITCH_L	1063	70695			
EVT_OXY_TEST_RESET_SWITCH_R	1066	70698			
EVT_OXY_TEST_RESET_SWITCH_OBS_R	1069	70701			
EVT_OXY_TEST_RESET_SWITCH_OBS_L	1072	70704			
EVT_OXY_NORM_EMER_L	1064	70696			
EVT_OXY_NORM_EMER_R	1067	70699			
EVT_OXY_NORM_EMER_OBS_R	1070	70702			
EVT_OXY_NORM_EMER_OBS_L	1073	70705			

Miscellaneous	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_YOKE_AP_DISC_SWITCH	1084	70716			
EVT_CLICKSPOT_ISFD	1101	70733			
EVT_CLICKSPOT_STBY_ADI	1102	70734			
EVT_CLICKSPOT_STBY_ASI	1103	70735			
EVT_CLICKSPOT_STBY_ALTIMETER	1104	70736			
 
EVT_CLICKSPOT_GMCS_ZOOM	1112	70744			

Custom shortcut special events	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_LDG_LIGHTS_TOGGLE	14000	83632			
EVT_TURNOFF_LIGHTS_TOGGLE	14001	83633			
EVT_COCKPIT_LIGHTS_TOGGLE	14002	83634			
EVT_PANEL_LIGHTS_TOGGLE	14003	83635			
EVT_FLOOD_LIGHTS_TOGGLE	14004	83636			
EVT_DOOR_1L	14011	83643			
EVT_DOOR_1R	14012	83644			
EVT_DOOR_2L	14013	83645			
EVT_DOOR_2R	14014	83646			
EVT_DOOR_3L	14015	83647			
EVT_DOOR_3R	14016	83648			
EVT_DOOR_4L	14017	83649			
EVT_DOOR_4R	14018	83650			
EVT_DOOR_OVERWING_EXIT_L	14019	83651			
EVT_DOOR_OVERWING_EXIT_R	14020	83652			
EVT_DOOR_CARGO_FWD	14021	83653			
EVT_DOOR_CARGO_AFT	14022	83654			
EVT_DOOR_CARGO_BULK	14023	83655			
EVT_DOOR_CARGO_MAIN	14024	83656			
EVT_DOOR_FWD_ACCESS	14025	83657			
EVT_DOOR_EE_ACCESS	14026	83658			
EVT_AT_ARM_SWITCHES	14027	83659			

MCP Direct Control	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_MCP_IAS_SET (*1)	14502	84134			
EVT_MCP_MACH_SET (*2)	14503	84135			
EVT_MCP_HDGTRK_SET (*3)	14504	84136			
EVT_MCP_ALT_SET	14505	84137			
EVT_MCP_VS_SET (*4)	14506	84138			
EVT_MCP_FPA_SET (*5)	14507	84139			

Panel system events	SDK Value	EVENT ID	Parameter	MODULE	SW/PIN
EVT_CTRL_ACCELERATION_DISABLE	14600	84232			
EVT_CTRL_ACCELERATION_ENABLE	14600	84232			
EVT_2D_PANEL_OFFSET (*6 )	20000	89632			
